home_team,away_team,home_team_score,away_team_score,game_date,stadium,public,ref,yellow_cards_home,red_cards_home,gols_home,yellow_cards_away,red_cards_away,gols_away,sec_card_home,sec_card_away,link
CR Vasco da Gama,Goiás EC,3,2,25 de fevereiro de 2021 21:30,São Januário,No data,Leandro Pedro Vuaden,"[{""player"": ""Leonardo de Matos Cruz"", ""minute"": ""17'""}]",[],"[{""player"": ""Germ\u00e1n Ezequiel Cano"", ""minute"": ""15'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Ricardo Queiroz de Alencastro Gra\u00e7a"", ""minute"": ""50'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Ricardo Queiroz de Alencastro Gra\u00e7a"", ""minute"": ""90+2'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Miguel Ferreira Damasceno"", ""minute"": ""58'""}, {""player"": ""F\u00e1bio Pizarro Sanches"", ""minute"": ""74'""}]",[],"[{""player"": ""Jos\u00e9 Fernando Viana de Santana"", ""minute"": ""25'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Jos\u00e9 Fernando Viana de Santana"", ""minute"": ""45+7'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5d9g78zocz08wn1ng2qm0odii
São Paulo FC,CR Flamengo,2,1,25 de fevereiro de 2021 21:30,Morumbi,No data,Rodolpho Toski Marques,"[{""player"": ""Danilo das Neves Pinheiro"", ""minute"": ""31'""}, {""player"": ""Robert Abel Arboleda Escobar"", ""minute"": ""36'""}, {""player"": ""Daniel Alves da Silva"", ""minute"": ""39'""}, {""player"": ""Igor Vin\u00edcius de Souza"", ""minute"": ""43'""}, {""player"": ""Welington Damascena Santos"", ""minute"": ""54'""}, {""player"": ""Luciano da Rocha Neves"", ""minute"": ""61'""}]",[],"[{""player"": ""Luciano da Rocha Neves"", ""minute"": ""45+5'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Pablo Felipe Teixeira"", ""minute"": ""58'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Gabriel Barbosa Almeida"", ""minute"": ""45+7'""}, {""player"": ""\u00c9verton Augusto de Barros Ribeiro"", ""minute"": ""77'""}, {""player"": ""Bruno Henrique Pinto"", ""minute"": ""89'""}]",[],"[{""player"": ""Bruno Henrique Pinto"", ""minute"": ""51'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5bq1ox3fs09mb7wa5smq7h1t6
SC Internacional,SC Corinthians Paulista,0,0,25 de fevereiro de 2021 21:30,Beira-Rio,No data,Wilton Pereira Sampaio,[],[],[],"[{""player"": ""V\u00edctor Danilo Cantillo Jim\u00e9nez"", ""minute"": ""22'""}, {""player"": ""F\u00e1bio Santos Romeu"", ""minute"": ""68'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5cizzldqglox2hjx6vwo749yi
Fluminense FC,Fortaleza EC,2,0,25 de fevereiro de 2021 21:30,Estádio Jornalista Mário Filho (Maracanã),No data,Anderson Daronco,[],[],"[{""player"": ""Frederico Chaves Guedes"", ""minute"": ""21'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Matheus Ferraz Pereira"", ""minute"": ""61'"", ""cont"": 0, ""penal"": 0}]",[],[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5d46e8kgq8mrw7hkziufa61d6
Ceará SC,Botafogo FR,2,1,25 de fevereiro de 2021 21:30,Castelão,No data,Raphael Claus,"[{""player"": ""Gabriel Santos Cordeiro Lacerda"", ""minute"": ""43'""}, {""player"": ""William Klaus"", ""minute"": ""56'""}, {""player"": ""Pedro Henrique Naressi Machado"", ""minute"": ""64'""}]",[],"[{""player"": ""Pedro Henrique Naressi Machado"", ""minute"": ""17'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Saulo Rodrigues da Silva"", ""minute"": ""90+4'"", ""cont"": 0, ""penal"": 0}]",[],[],"[{""player"": ""Matheus Barcelos da Silva"", ""minute"": ""57'"", ""cont"": 0, ""penal"": 1}]","[{""player"": ""William Klaus"", ""minute"": ""81'""}]",[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5bxcq20w8fn3csbwba4ikuhyi
Red Bull Bragantino,Grêmio FB Porto Alegrense,1,0,25 de fevereiro de 2021 21:30,Nabizão,No data,Ramon Abatti,"[{""player"": ""Edimar Curitiba Fraga"", ""minute"": ""35'""}, {""player"": ""Lucas Evangelista Santana de Oliveira"", ""minute"": ""44'""}, {""player"": ""Ytalo Jos\u00e9 Oliveira dos Santos"", ""minute"": ""82'""}, {""player"": ""Fabr\u00edcio Bruno Soares de Faria"", ""minute"": ""90+4'""}]",[],"[{""player"": ""Cl\u00e1udio Luiz Rodrigues Parise Leonel"", ""minute"": ""53'"", ""cont"": 0, ""penal"": 0}]",[],[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5cnzla0vcb4s6mo24thdfx08a
EC Bahia,Santos FC Sao Paulo,2,0,25 de fevereiro de 2021 21:30,Arena Fonte Nova,No data,Paulo Roberto Alves Júnior,[],[],"[{""player"": ""Rosicley Pereira da Silva"", ""minute"": ""15'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Alesson dos Santos Batista"", ""minute"": ""90+1'"", ""cont"": 0, ""penal"": 0}]",[],[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5cas76zm42pd23hp15ixn51m2
Clube Atlético Mineiro,SE Palmeiras,2,0,25 de fevereiro de 2021 21:30,Mineirão,No data,Heber Roberto Lopes,"[{""player"": ""Everson Felipe Marques Pires"", ""minute"": ""5'""}, {""player"": ""Federico Mat\u00edas Zaracho"", ""minute"": ""33'""}, {""player"": ""Cl\u00e1udio Rodrigues Gomes"", ""minute"": ""84'""}]",[],"[{""player"": ""Jair Rodrigues J\u00fanior"", ""minute"": ""79'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Eduardo Colcenti Antunes"", ""minute"": ""89'"", ""cont"": 0, ""penal"": 0}]",[],[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5c4mihxouhmdqsr05z84sqwdm
Atlético Goianiense,Coritiba FBC,3,1,25 de fevereiro de 2021 21:30,Estádio Antônio Accioly,No data,Edina Alves Batista,[],[],"[{""player"": ""Gilvan Souza Corr\u00eaa"", ""minute"": ""3'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Wellington Soares da Silva"", ""minute"": ""34'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Guilherme da Trindade Dubas"", ""minute"": ""45+2'"", ""cont"": 1, ""penal"": 0}]","[{""player"": ""Mart\u00edn Nicol\u00e1s Sarrafiore"", ""minute"": ""80'""}]",[],"[{""player"": ""Ricardo de Oliveira"", ""minute"": ""63'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5cyigdbha3qv6ew6j1rtszqsq
Club Athletico Paranaense,SC do Recife,2,0,25 de fevereiro de 2021 21:30,Arena da Baixada,No data,Flavio Rodrigues De Souza,[],[],"[{""player"": ""Maycon Vin\u00edcius Ferreira da Cruz"", ""minute"": ""8'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Leonardo Cittadini"", ""minute"": ""86'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Adryelson Shawann Lima Silva"", ""minute"": ""26'""}, {""player"": ""Jair Zaksauskas Ribeiro Ventura"", ""minute"": ""45+2'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5csvm0e0talxeblgjm6y3jpey
